CourseID,CourseName,Degree,UniversityID
c-001,BSc Computer Science,Bachelor of Science,u-up-01
c-002,BSc Information and Knowledge Systems,Bachelor of Science,u-up-01
c-003,BSc Biological Sciences,Bachelor of Science,u-up-01
c-004,BSc Chemistry,Bachelor of Science,u-up-01
c-005,BSc Physics,Bachelor of Science,u-up-01
c-006,BSc Actuarial and Financial Mathematics,Bachelor of Science,u-up-01
c-007,BCom Informatics,Bachelor of Commerce,u-up-01
c-008,BCom Econometrics,Bachelor of Commerce,u-up-01
c-009,BCom Statistics,Bachelor of Commerce,u-up-01
c-010,BCom Business Management,Bachelor of Commerce,u-up-01
c-011,BEng Civil Engineering,Bachelor of Engineering,u-up-01
c-012,BEng Mechanical Engineering,Bachelor of Engineering,u-up-01
c-013,BEng Industrial Engineering,Bachelor of Engineering,u-up-01
c-014,BEng Electrical Engineering,Bachelor of Engineering,u-up-01
c-015,BEng Chemical Engineering,Bachelor of Engineering,u-up-01
