eventId,moduleId,venueId,eventSource,dayOfWeek,startTime,endTime,activityType,activityCode,isRecurring
e-001,m-001,v-001,timetable_pdf,Monday,14:30,15:20,lecture,L1,true
e-002,m-001,v-002,timetable_pdf,Wednesday,14:30,15:20,lecture,L2,true
e-003,m-001,v-003,timetable_pdf,Wednesday,08:30,10:20,practical,PT1,true
e-004,m-013,v-053,timetable_pdf,Monday,11:30,12:20,lecture,L1,true
e-005,m-013,v-053,timetable_pdf,Wednesday,08:30,09:20,lecture,L2,true
e-006,m-013,v-053,timetable_pdf,Friday,14:30,17:20,practical,P1,true
e-007,m-022,v-046,timetable_pdf,Monday,09:30,10:20,lecture,L1,true
e-008,m-022,v-001,timetable_pdf,Tuesday,08:30,10:20,lecture,L2,true
e-009,m-022,v-001,timetable_pdf,Thursday,14:30,15:20,lecture,L3,true
e-010,m-030,v-034,timetable_pdf,Tuesday,15:30,17:20,lecture,L1,true
e-011,m-031,v-057,timetable_pdf,Tuesday,12:30,14:20,lecture,L1,true
e-012,m-032,v-036,timetable_pdf,Thursday,08:30,09:20,lecture,L1,true
e-013,m-035,v-067,timetable_pdf,Monday,08:30,09:20,lecture,L1,true
e-014,m-035,v-067,timetable_pdf,Tuesday,08:30,09:20,lecture,L2,true
e-015,m-035,v-066,timetable_pdf,Wednesday,09:30,10:20,lecture,L3,true
e-016,m-047,v-055,timetable_pdf,Monday,07:30,08:20,lecture,L1,true
e-017,m-047,v-014,timetable_pdf,Tuesday,12:30,13:20,lecture,L2,true
e-018,m-047,v-034,timetable_pdf,Thursday,07:30,08:20,lecture,L3,true
e-019,m-053,v-069,timetable_pdf,Monday,10:30,11:20,lecture,L1,true
e-020,m-053,v-069,timetable_pdf,Tuesday,07:30,08:20,lecture,L2,true
e-021,m-058,v-060,timetable_pdf,Monday,10:30,11:20,lecture,L1,true
e-022,m-058,v-088,timetable_pdf,Tuesday,13:30,14:20,lecture,L2,true
e-023,m-054,v-070,timetable_pdf,Monday,08:30,09:20,lecture,L1,true
e-024,m-054,v-024,timetable_pdf,Monday,08:30,09:20,lecture,L1,true
e-025,m-061,v-018,timetable_pdf,Monday,11:30,12:20,lecture,L1,true
e-026,m-061,v-018,timetable_pdf,Friday,12:30,13:20,lecture,L2,true
