Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/admin/create-mock-user,31,0,100,105.47856735197016,62.403707997873425,211.8057920015417,112.38709677419355,0.13394430270745464,0.0,100,100,110,130,150,150,210,210,210,210,210
GET,/api/auth/get-session,52,41,6,6.820262982868231,3.1839580042287707,12.298874993575737,129.76923076923077,0.22468076583185942,0.17715214229050452,6,7,7,8,9,12,12,12,12,12,12
POST,/api/auth/sign-in/email,31,28,6,11.453618256059746,2.7285840187687427,71.5120829991065,84.70967741935483,0.13394430270745464,0.12098195083253968,6,7,9,11,14,57,72,72,72,72,72
GET,/api/builder,90,76,6,7.49155650070558,3.379208006663248,20.710457989480346,2.1777777777777776,0.388870556247449,0.32837958083117913,7,7,8,8,14,15,19,21,21,21,21
GET,/api/events,96,70,6,7.1721453426410635,2.2903339995536953,16.695375001290813,3.5208333333333335,0.4147952599972789,0.3024548770813492,6,7,8,8,12,14,16,17,17,17,17
GET,/api/pdf-parser/jobs/pdf-parse-056ce098-18cc-4429-adce-d8f845ccc09d,1,0,12.303166004130617,12.303166004130617,12.303166004130617,12.303166004130617,46781.0,0.004320783958304988,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/pdf-parser/jobs/pdf-parse-056ce098-18cc-4429-adce-d8f845ccc09d/result,1,0,9.716959000797942,9.716959000797942,9.716959000797942,9.716959000797942,46439.0,0.004320783958304988,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/pdf-parser/jobs/pdf-parse-0eb43b18-5b24-46c5-90f3-9cd1630b0d05,2,0,10,10.357061997638084,9.861166006885469,10.852957988390699,19177.0,0.008641567916609976,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/pdf-parser/jobs/pdf-parse-0ef63f2f-5fb6-48ac-a6c0-ff2514fc0672/result,1,0,4.290416021831334,4.290416021831334,4.290416021831334,4.290416021831334,19973.0,0.004320783958304988,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/pdf-parser/jobs/pdf-parse-39d994e8-ff1c-4b37-bcbc-55bad8ff85b2,2,0,3.3249169937334955,6.994603987550363,3.3249169937334955,10.66429098136723,17546.0,0.008641567916609976,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/pdf-parser/jobs/pdf-parse-4399c54b-db2e-4502-a570-45ff4bfb61da,1,0,7.842708000680432,7.842708000680432,7.842708000680432,7.842708000680432,17546.0,0.004320783958304988,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/pdf-parser/jobs/pdf-parse-4399c54b-db2e-4502-a570-45ff4bfb61da/result,1,0,10.434625000925735,10.434625000925735,10.434625000925735,10.434625000925735,17206.0,0.004320783958304988,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/pdf-parser/jobs/pdf-parse-526e4b46-7f1d-424e-a502-a47d85949107,49,48,7,6.57131120607694,2.5288330216426402,11.237708007683977,5.959183673469388,0.21171841395694443,0.20739762999863945,7,7,7,8,8,8,11,11,11,11,11
GET,/api/pdf-parser/jobs/pdf-parse-526e4b46-7f1d-424e-a502-a47d85949107/result,20,20,7,6.612875002610963,3.8935000193305314,8.088583999779075,0.0,0.08641567916609977,0.08641567916609977,7,7,7,7,8,8,8,8,8,8,8
GET,/api/pdf-parser/jobs/pdf-parse-65849b07-fe9e-4c18-a987-820ac5a8201f,1,0,3.646291996119544,3.646291996119544,3.646291996119544,3.646291996119544,20311.0,0.004320783958304988,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/pdf-parser/jobs/pdf-parse-65849b07-fe9e-4c18-a987-820ac5a8201f/result,1,0,10.206999984802678,10.206999984802678,10.206999984802678,10.206999984802678,19973.0,0.004320783958304988,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/pdf-parser/jobs/pdf-parse-7ab7fc09-afdf-4fd6-bc37-98dabd294cab/result,2,0,9,9.422936986084096,8.821957977488637,10.023915994679555,11766.0,0.008641567916609976,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/pdf-parser/jobs/pdf-parse-858d2c85-31c6-4ff3-95e2-04b568927ce7,33,32,6,6.1824899105087034,3.0117499991320074,8.004707982763648,745.0,0.14258587062406464,0.13826508666575962,6,7,7,7,7,8,8,8,8,8,8
GET,/api/pdf-parser/jobs/pdf-parse-858d2c85-31c6-4ff3-95e2-04b568927ce7/result,25,25,6,6.437473321566358,2.342542022233829,8.507207996444777,0.0,0.10801959895762471,0.10801959895762471,6,7,8,8,8,8,9,9,9,9,9
GET,/api/pdf-parser/jobs/pdf-parse-89544cc1-b36e-43ed-ba85-27eeab95232d,3,0,12,13.83900000170494,5.372416984755546,24.461000022711232,12104.0,0.012962351874914966,0.0,12,12,24,24,24,24,24,24,24,24,24
