moduleID,moduleCode,moduleName,moduleDescription,SemesterOfStudy,YearOfStudy,Core,validated
m-001,BIO 137,BIO 137 catch phrase,Sentence description for BIO 137,1,1,true,true
m-002,BIO 147,BIO 147 catch phrase,Sentence description for BIO 147,2,1,true,true
m-003,CMY 137,CMY 137 catch phrase,Sentence description for CMY 137,1,1,true,true
m-004,CMY 147,CMY 147 catch phrase,Sentence description for CMY 147,2,1,true,true
m-005,LST 133,LST 133 catch phrase,Sentence description for LST 133,1,1,true,true
m-006,LST 143,LST 143 catch phrase,Sentence description for LST 143,2,1,true,true
m-007,PHY 137,PHY 137 catch phrase,Sentence description for PHY 137,1,1,true,true
m-008,PHY 147,PHY 147 catch phrase,Sentence description for PHY 147,2,1,true,true
m-009,STC 137,STC 137 catch phrase,Sentence description for STC 137,1,1,true,true
m-010,STC 147,STC 147 catch phrase,Sentence description for STC 147,2,1,true,true
m-011,WTW 137,WTW 137 catch phrase,Sentence description for WTW 137,1,1,true,true
m-012,WTW 147,WTW 147 catch phrase,Sentence description for WTW 147,2,1,true,true
m-013,COS 210,COS 210 catch phrase,Sentence description for COS 210,1,2,true,true
m-014,COS 212,COS 212 catch phrase,Sentence description for COS 212,1,2,true,true
m-015,COS 214,COS 214 catch phrase,Sentence description for COS 214,2,2,true,true
m-016,COS 216,COS 216 catch phrase,Sentence description for COS 216,1,2,true,true
m-017,COS 221,COS 221 catch phrase,Sentence description for COS 221,1,2,true,true
m-018,COS 226,COS 226 catch phrase,Sentence description for COS 226,2,2,true,true
m-019,COS 284,COS 284 catch phrase,Sentence description for COS 284,2,2,true,true
m-020,OBS 310,OBS 310 catch phrase,Sentence description for OBS 310,1,3,true,true
m-021,OBS 330,OBS 330 catch phrase,Sentence description for OBS 330,2,3,true,true
m-022,BAC 310,BAC 310 catch phrase,Sentence description for BAC 310,1,3,true,true
m-023,EKN 310,EKN 310 catch phrase,Sentence description for EKN 310,1,3,true,true
m-024,EKN 320,EKN 320 catch phrase,Sentence description for EKN 320,2,3,true,true
m-025,FBS 320,FBS 320 catch phrase,Sentence description for FBS 320,2,3,true,true
m-026,IVM 310,IVM 310 catch phrase,Sentence description for IVM 310,1,3,true,true
