venueId,venueName,campus
v-001,Centenary 1,HATFIELD
v-002,EMS 4-152,HATFIELD
v-003,Plant Science complex 2-10,HATFIELD
v-004,Plant Science complex 2-11,HATFIELD
v-005,Centenary 2,HATFIELD
v-006,IT 2-23,HATFIELD
v-007,vd Bijl Hall,HATFIELD
v-008,Chemistry Lab 1-24,HATFIELD
v-009,Consult Department,HATFIELD
v-010,Chemistry Lab 1-40,HATFIELD
v-011,North hall,HATFIELD
v-012,Chemistry Lab 1-40 Ext,HATFIELD
v-013,South hall,HATFIELD
v-014,IT 4-1,HATFIELD
v-015,Theology 1-25,HATFIELD
v-016,HB 4-1,HATFIELD
v-017,HB 4-9,HATFIELD
v-018,HB 3-23,HATFIELD
v-019,HB 4-3,HATFIELD
v-020,HB 4-15,HATFIELD
v-021,HB 4-14,HATFIELD
v-022,HB 3-15,HATFIELD
v-023,HB 4-13,HATFIELD
v-024,Muller hall,HATFIELD
v-025,Centenary 6,HATFIELD
v-026,AE Annex Tutorial Lab 4-9,HATFIELD
v-027,AE Annex Tutorial Lab 4-1,HATFIELD
v-028,AE Annex Tutorial Lab 4-12,HATFIELD
v-029,AE Annex Tutorial Lab 4-13,HATFIELD
v-030,AE Annex Tutorial Lab 5-1,HATFIELD
v-031,AE Annex Tutorial Lab 5-10,HATFIELD
v-032,AE Annex Tutorial Lab 5-13,HATFIELD
v-033,AE Annex Tutorial Lab 5-14,HATFIELD
v-034,IT 4-5,HATFIELD
v-035,HB 4-2,HATFIELD
v-036,Informatorium Brown Lab,HATFIELD
v-037,Informatorium Grey Lab,HATFIELD
v-038,IT 4-4,HATFIELD
v-039,Informatorium Orange Lab,HATFIELD
v-040,Informatorium Purple Lab,HATFIELD
v-041,Informatorium CBT Lab 1,HATFIELD
v-042,Informatorium CBT Lab 2,HATFIELD
v-043,Informatorium CBT Lab 3,HATFIELD
v-044,Informatorium Blue Lab 1,HATFIELD
v-045,Informatorium SIT 1 lab,HATFIELD
v-046,Centenary 4,HATFIELD
v-047,Informatorium Maroon Lab,HATFIELD
v-048,Informatorium Blue Lab 3,HATFIELD
v-049,Informatorium Green Lab,HATFIELD
v-050,IT 2-27,HATFIELD
v-051,EMS 4-150,HATFIELD
v-052,EMS 4-151,HATFIELD
v-053,IT 2-26,HATFIELD
v-054,HB 4-12,HATFIELD
v-055,Large Chemistry Hall,HATFIELD
v-056,Louw hall,HATFIELD
v-057,Roos hall,HATFIELD
v-058,Informatorium Blue Lab 2,HATFIELD
v-059,Informatorium Yellow Lab,HATFIELD
v-060,Centenary 5,HATFIELD
v-061,Centenary 3,HATFIELD
v-062,IT Open Bronze Lab,HATFIELD
v-063,IT Open Copper Lab,HATFIELD
v-064,IT Open Gold Lab,HATFIELD
v-065,IT Open Silver Lab,HATFIELD
v-066,Thuto 1-1,HATFIELD
v-067,Thuto 1-2,HATFIELD
v-068,Thuto 3-1,HATFIELD
v-069,Thuto 3-2,HATFIELD
v-070,AE du Toit Auditorium,HATFIELD
v-071,HB 4-7,HATFIELD
v-072,IT 2-25,HATFIELD
v-073,HB 4-6,HATFIELD
v-074,Theology 1-9,HATFIELD
v-075,HB 4-8,HATFIELD
v-076,AE Annex,HATFIELD
v-077,Te Water hall,HATFIELD
v-078,Zoology 2-4,HATFIELD
v-079,Informatorium Red Lab,HATFIELD
v-080,Eng III - 7,HATFIELD
v-081,Eng III - 1,HATFIELD
v-082,Eng III - 2,HATFIELD
v-083,Eng III - 3,HATFIELD
v-084,Eng III - 4,HATFIELD
v-085,Eng III - 5,HATFIELD
v-086,Eng III - 6,HATFIELD
v-087,Eng II 4-39 CAEC Lab,HATFIELD
v-088,Eng I 1-1,HATFIELD
v-089,NS2 4-1,HATFIELD
v-090,IT 4-3,HATFIELD
v-091,Law building 1-54,HATFIELD
v-092,IT 4-2,HATFIELD
